,ID,ID_LOCALITY,ID_MUNICIPALITY,UC_COL_ID_05,UC_COL_ID_03,UC_COL_ID_01
76,6416102260,1,113,TR,64,641610
77,6205350789,4,408,TR,62,620535
78,4504050160,1,118,TR,45,450405
79,6205642560,4,408,TR,62,620564
80,6205643550,4,408,TR,62,620564
81,6205760040,4,408,TR,62,620576
82,6205760320,4,408,TR,62,620576
83,6205762020,4,408,TR,62,620576
84,6205800890,4,408,TR,62,620580
85,8816303640,1,107,TG,88,881630
86,8600330020,3,303,TR,86,860033
87,0607900020,1,101,TR,06,060790
88,7602641560,1,101,TR,76,760264
89,6205800900,4,408,TG,62,620580
90,6205801000,4,408,TR,62,620580
91,6206400300,4,408,TR,62,620640
92,0104800320,1,101,TG,01,010480
93,6206400305,4,408,TR,62,620640
94,6206400310,4,408,TR,62,620640
95,6206401120,4,408,TR,62,620640
96,6206402480,4,408,TR,62,620640
97,6206402500,4,408,TR,62,620640
98,6206880020,4,408,TR,62,620688
99,6206880520,4,408,TR,62,620688
100,6830270480,1,103,TR,68,683027
101,0801600160,1,101,TG,08,080160
102,8632000620,3,303,TG,86,863200
103,4503250440,1,118,TRH,45,450325
104,1800402170,1,108,TR,18,180040
105,1801480320,1,108,TR,18,180148
106,1801581120,1,108,TR,18,180158
107,1806190280,1,108,TR,18,180619
108,2203500120,1,110,TR,22,220350
109,6007502940,1,111,TR,60,600750
110,4011140660,1,101,TR,40,401114
111,4804056000,1,101,TR,48,480405
112,4804051318,1,101,TR,48,480405
113,2400410802,1,106,TG,24,240041
114,4803840380,1,101,TR,48,480384
115,2212100900,1,110,TR,22,221210
116,7000164100,1,103,TR,70,700016
117,6605403780,1,103,TR,66,660540
118,1807923400,1,108,TR,18,180792
119,8612803500,3,303,TG,86,861280
120,4801350580,1,101,TR,48,480135
121,7600070690,1,101,TR,76,760007
122,6003220120,1,111,TR,60,600322
123,3815324460,1,102,TG,38,381532
124,9005780310,1,101,TR,90,900578
125,4000211360,1,101,TR,40,400021
126,4650440280,1,103,TR,46,465044
127,1101200800,1,101,TR,11,110120
128,1201200400,1,101,TR,12,120120
129,7403304743,1,115,TR,74,740330
130,9004921185,1,101,TG,90,900492
131,9004980060,1,101,TG,90,900498
132,3400642030,1,118,TG,34,340064
133,7502200700,3,303,TR,75,750220
134,0901750200,1,101,TR,09,090175
135,0900500580,1,101,TG,09,090050
136,0901690180,1,101,TR,09,090169
137,0901690200,1,101,TR,09,090169
138,1003200020,1,101,TIN,10,100320
139,3815061540,1,102,TR,38,381506
140,0703300860,1,101,TG,07,070330
141,1201200400,1,101,TR,12,120120
142,1100301300,1,101,TR,11,110030
143,1100400980,1,101,TR,11,110040
144,1100600740,1,101,TR,11,110060
145,1100600740,1,101,TR,11,110060
146,1101000810,1,101,TR,11,110100
147,1101200202,1,101,TR,11,110120
148,1200600880,1,101,TR,12,120060
149,1200601160,1,101,TR,12,120060
150,1201100080,1,101,TR,12,120110
